Gene stable ID	Gene start (bp)	Gene end (bp)
WBGene00022318	1354997	1355420
WBGene00022319	1351216	1353371
WBGene00022320	1349752	1350836
WBGene00022321	1347787	1349400
WBGene00022322	1346315	1347128
WBGene00022323	1344874	1345794
WBGene00022324	1340597	1342494
WBGene00022325	1336707	1340333
WBGene00022326	1322133	1324633
WBGene00022327	1319016	1321671
WBGene00022328	1309187	1311226
WBGene00022329	1305716	1308294
WBGene00022330	1313297	1315229
WBGene00022331	1315264	1316665
WBGene00022332	1311228	1313148
WBGene00022333	1342975	1344692
WBGene00022334	1458536	1466732
WBGene00022335	1438832	1443190
WBGene00022336	1419196	1419914
WBGene00022337	1399972	1401305
WBGene00022338	1384820	1388350
WBGene00022339	1381445	1381627
WBGene00022340	1360507	1362676
WBGene00022341	1357080	1359135
WBGene00022342	1359254	1359769
WBGene00022343	1375245	1375591
WBGene00022344	1376945	1378003
WBGene00022345	1382375	1383412
WBGene00022346	1390450	1391852
WBGene00022347	1409243	1414116
WBGene00022348	1419863	1427228
WBGene00022349	1447495	1455770
WBGene00022350	1467876	1483507
WBGene00022351	1483622	1495330
WBGene00022352	1374152	1376542
WBGene00022353	1404792	1406230
WBGene00022354	1406463	1409239
WBGene00022356	1175107	1176553
WBGene00022357	1080901	1081300
WBGene00022420	6725789	6728058
WBGene00022421	6733992	6734520
WBGene00022476	1303714	1305461
WBGene00022477	1297904	1299484
WBGene00022478	1295684	1297069
WBGene00022479	1292051	1293215
WBGene00022481	1263992	1265370
WBGene00022482	1259424	1260184
WBGene00022483	1255551	1256929
WBGene00022484	1249493	1251838
WBGene00022485	1243513	1245283
WBGene00022486	1239260	1242780
WBGene00022487	1236015	1237142
WBGene00022488	1208104	1213650
WBGene00022489	1202548	1207346
WBGene00022490	1181990	1184942
WBGene00022491	1185248	1193812
WBGene00022492	1194367	1196292
WBGene00022493	1196560	1202008
WBGene00022494	1253384	1254401
WBGene00022495	1257213	1258414
WBGene00022496	1261944	1262842
WBGene00022497	1214951	1215293
WBGene00022505	8525073	8528650
WBGene00022506	8542952	8545608
WBGene00022507	8518904	8519945
WBGene00022516	7761977	7763603
WBGene00022530	5219280	5220093
WBGene00022531	5203713	5206911
WBGene00022532	5211781	5215512
WBGene00022533	5215949	5217604
WBGene00022534	5207567	5209557
WBGene00022578	8340797	8341743
WBGene00022579	8332223	8333572
WBGene00022580	8326516	8330947
WBGene00022581	8333663	8334233
WBGene00022582	8342224	8342610
WBGene00022583	8331047	8331919
WBGene00022596	5270261	5271035
WBGene00022597	5267809	5268581
WBGene00022598	5268682	5273471
WBGene00022599	5273800	5274787
WBGene00022600	5286086	5286305
WBGene00022660	7729709	7730011
WBGene00022661	7738085	7739656
WBGene00022662	7739855	7740541
WBGene00022663	5345252	5346117
WBGene00022664	5341682	5344273
WBGene00022694	6006344	6009084
WBGene00022695	6028790	6030583
WBGene00022696	6032696	6039475
WBGene00022697	8405874	8409406
WBGene00022698	8398711	8399240
WBGene00022699	8395985	8396727
WBGene00022700	8388466	8389639
WBGene00022702	8402049	8403607
WBGene00022703	8403715	8405562
WBGene00022704	8409496	8412017
WBGene00022717	8720201	8725334
WBGene00022718	8725323	8731373
WBGene00022719	8737686	8741412
WBGene00022720	8742007	8743842
WBGene00022721	8746216	8748701
WBGene00022722	8752091	8754750
WBGene00022732	7091330	7093408
WBGene00022733	7070281	7070885
WBGene00022734	7072613	7073851
WBGene00022735	7076572	7078837
WBGene00022736	7079077	7080789
WBGene00022737	7083684	7085088
WBGene00022738	7085197	7087741
WBGene00022783	7859613	7860159
WBGene00022785	7829411	7832503
WBGene00022786	7842381	7843636
WBGene00022787	7855840	7857242
WBGene00022791	7773134	7773849
WBGene00022792	7763698	7766052
WBGene00022793	7767571	7769063
WBGene00022794	7769165	7770149
WBGene00022795	7766389	7767515
WBGene00022796	7909563	7910758
WBGene00022797	7901033	7904473
WBGene00022798	7892256	7894625
WBGene00022799	7895024	7895270
WBGene00022800	7885088	7891615
WBGene00022801	7904945	7907843
WBGene00022802	7910798	7911630
WBGene00022803	7881113	7883003
WBGene00022816	7625376	7641053
WBGene00022817	7641034	7643101
WBGene00022818	7646176	7648071
WBGene00022862	8429307	8431586
WBGene00022864	8431552	8432214
WBGene00022865	8439468	8443607
WBGene00022897	5762286	5762356
WBGene00022898	5769904	5769985
WBGene00022899	5762057	5762126
WBGene00022910	5626944	5628206
WBGene00022917	7978471	7978543
WBGene00022923	8106653	8106725
WBGene00022924	8109603	8109724
WBGene00022985	7030557	7030628
WBGene00022998	8639306	8639425
WBGene00022999	8646167	8646248
WBGene00023000	8653055	8653127
WBGene00023001	8653608	8653680
WBGene00023002	8650381	8650452
WBGene00023018	6805568	6805640
WBGene00023020	502804	502889
WBGene00023031	6724135	6724220
WBGene00023037	6056299	6056380
WBGene00023044	6158778	6158859
WBGene00023045	6158965	6159050
WBGene00023046	8473473	8473545
WBGene00023062	5305905	5305976
WBGene00023071	7337892	7338002
WBGene00023084	2650851	2651565
WBGene00023093	6513937	6514018
WBGene00023097	6888806	6888877
WBGene00023098	6888610	6888681
WBGene00023099	6887728	6887800
WBGene00023104	383771	384827
WBGene00023107	8069405	8069476
WBGene00023108	2032518	2032589
WBGene00023109	2032897	2032968
WBGene00023127	3195439	3195520
WBGene00023140	5294979	5295050
WBGene00023147	535382	535465
WBGene00023170	1604582	1604653
WBGene00023171	1604702	1604773
WBGene00023175	5782236	5782306
WBGene00023189	1122505	1122577
WBGene00023190	2711711	2711782
WBGene00023195	1424491	1424562
WBGene00023196	1163354	1163427
WBGene00023197	1164800	1164873
WBGene00023201	6726991	6727076
WBGene00023205	1225459	1226065
WBGene00023206	1218376	1218449
WBGene00023219	7642158	7642229
WBGene00023223	8436700	8437811
WBGene00023224	7105441	7106460
WBGene00023227	1040676	1040746
WBGene00023228	1041553	1041623
WBGene00023229	1042586	1042656
WBGene00023230	1044997	1045067
WBGene00023231	1046942	1047012
WBGene00023232	1047830	1047901
WBGene00023289	1934447	1936195
WBGene00023300	2879915	2879988
WBGene00023307	3099574	3099645
WBGene00023325	383249	384177
WBGene00023332	3186990	3187061
WBGene00023333	3189669	3189742
WBGene00023334	3191651	3191720
WBGene00023345	941905	942868
WBGene00023360	1577101	1577173
WBGene00023361	1577411	1577482
WBGene00023362	1577318	1577390
WBGene00023363	1577008	1577078
WBGene00023364	1743249	1743320
WBGene00023370	1998084	1998157
WBGene00023373	3101085	3101156
WBGene00023375	3103013	3103085
WBGene00023376	3104062	3104133
WBGene00023377	3105142	3105214
WBGene00023378	3106147	3106218
WBGene00023379	3108261	3108333
WBGene00023380	3110798	3110870
WBGene00023381	3112144	3112215
WBGene00023385	1575872	1575944
WBGene00023386	1575333	1575405
WBGene00023387	1575430	1575502
WBGene00023388	1575775	1575850
WBGene00023395	1333921	1335467
WBGene00023404	11456877	11462897
WBGene00023405	8416227	8422650
WBGene00023414	7035432	7045724
WBGene00023422	4242672	4243561
WBGene00023423	4241477	4242593
WBGene00023450	13641795	13642327
WBGene00023451	13752406	13755861
WBGene00023453	7860147	7860256
WBGene00023466	7208613	7208744
WBGene00023468	794399	794526
WBGene00023469	6374415	6374548
WBGene00023470	2071513	2072347
WBGene00023471	2063442	2065855
WBGene00023482	10003393	10003810
WBGene00023483	12313287	12314403
WBGene00023489	6164645	6171165
WBGene00043051	7926999	7928734
WBGene00043057	10933631	10936129
WBGene00043060	5004820	5006981
WBGene00043097	8552555	8553839
WBGene00043156	4961817	4963092
WBGene00043297	6816643	6816880
WBGene00043948	8343771	8344336
WBGene00043992	9609568	9612191
WBGene00043993	9413461	9414602
WBGene00043994	9725285	9727539
WBGene00043995	9913021	9914075
WBGene00043996	10894520	10895732
WBGene00043997	12025559	12028811
WBGene00043998	10551102	10552955
WBGene00044000	12315876	12317053
WBGene00044005	7194094	7195425
WBGene00044069	10405248	10407248
WBGene00044072	10120781	10122928
WBGene00044078	4686088	4688210
WBGene00044127	12806175	12806855
WBGene00044128	12804599	12804761
WBGene00044130	10010843	10011065
WBGene00044166	3545740	3546419
WBGene00044167	3840595	3841154
WBGene00044222	10055604	10056133
WBGene00044224	4741818	4742737
WBGene00044225	4782505	4782805
WBGene00044226	10140458	10140754
WBGene00044227	9679698	9681269
WBGene00044228	13365425	13367747
WBGene00044229	13361299	13364765
WBGene00044230	3988059	3988575
WBGene00044232	11804547	11806795
WBGene00044233	11929889	11933639
WBGene00044288	488764	489452
WBGene00044295	6518714	6520049
WBGene00044311	6880947	6883853
WBGene00044312	6870296	6871171
WBGene00044318	640790	641625
WBGene00044319	638531	640226
WBGene00044324	7858979	7859512
WBGene00044341	1495434	1496027
WBGene00044353	7088644	7090132
WBGene00044354	7100482	7102033
WBGene00044399	13397761	13398437
WBGene00044401	453785	463811
WBGene00044402	1328644	1330966
WBGene00044403	2291419	2294124
WBGene00044406	9074872	9075639
WBGene00044409	5045009	5045667
WBGene00044410	5448838	5449868
WBGene00044411	5823957	5828651
WBGene00044412	6065139	6066217
WBGene00044443	8530077	8531123
WBGene00044444	8270790	8272175
WBGene00044445	8234526	8235543
WBGene00044446	8004397	8005887
WBGene00044447	7895752	7897025
WBGene00044448	7648788	7650005
WBGene00044449	7462267	7462466
WBGene00044450	7459258	7459493
WBGene00044451	7458815	7459031
WBGene00044452	6728155	6730170
WBGene00044453	6735968	6736642
WBGene00044454	6579698	6579877
WBGene00044455	6495677	6498198
WBGene00044588	8432469	8435174
WBGene00044603	4840187	4841024
WBGene00044604	5158873	5159605
WBGene00044609	2788441	2792973
WBGene00044633	7969319	7970283
WBGene00044634	7920123	7921059
WBGene00044636	4778390	4780157
WBGene00044648	5023264	5024064
WBGene00044674	7135024	7136149
WBGene00044675	1247618	1249153
WBGene00044676	2260004	2261445
WBGene00044677	8389882	8394424
WBGene00044678	8705109	8706345
WBGene00044681	874310	875325
WBGene00044739	9175077	9175221
WBGene00044760	2802450	2803681
WBGene00044761	1401946	1403460
WBGene00044762	7883574	7884963
WBGene00044763	7912698	7913600
WBGene00044798	1765458	1770091
WBGene00044799	7771591	7772559
WBGene00044801	8337504	8338631
WBGene00044802	8345699	8346826
WBGene00044808	10684731	10685225
WBGene00044891	10331551	10332480
WBGene00044903	9947788	9950344
WBGene00044911	4320389	4321348
WBGene00044912	4321748	4322867
WBGene00044939	794742	794867
WBGene00044940	3068806	3068883
WBGene00044941	5679378	5679509
WBGene00044942	5679745	5679875
WBGene00044943	7209019	7209149
WBGene00044944	7209400	7209530
WBGene00044945	7496577	7496654
WBGene00044946	7706862	7707011
WBGene00044969	11371357	11371424
WBGene00045072	13303339	13303413
WBGene00045089	5653866	5653968
WBGene00045092	3068486	3068562
WBGene00045113	13303428	13303563
WBGene00045118	4689634	4689771
WBGene00045124	9717380	9717458
WBGene00045132	8937767	8937897
WBGene00045149	10976663	10976746
WBGene00045165	4317339	4317381
WBGene00045168	4369475	4369767
WBGene00045172	13769877	13769953
WBGene00045188	4373179	4375323
WBGene00045189	4378907	4379199
WBGene00045190	7069103	7069580
WBGene00045211	11809118	11809561
WBGene00045239	12469169	12472541
WBGene00045242	10004513	10004965
WBGene00045246	7952623	7955816
WBGene00045247	7966601	7969221
WBGene00045368	9226850	9226974
WBGene00045374	4757947	4758087
WBGene00045378	10432343	10432476
WBGene00045475	10306756	10311100
WBGene00045482	13368087	13371072
WBGene00045484	3726683	3729570
WBGene00050913	954873	955295
WBGene00050914	954291	954653
WBGene00050917	3249346	3250538
WBGene00050919	5050107	5052068
WBGene00050920	5156434	5156886
WBGene00050922	10047746	10047815
WBGene00050931	9021370	9022635
WBGene00077516	8165540	8165672
WBGene00077517	8168243	8168383
WBGene00077531	181561	182981
WBGene00077703	10159027	10160482
WBGene00077725	11829248	11829311
WBGene00086546	8159155	8161338
WBGene00119203	4709248	4712547
WBGene00164983	3855072	3856931
WBGene00164985	13002383	13005311
WBGene00164986	11108314	11110462
WBGene00165033	13712068	13712088
WBGene00165052	2418786	2418806
WBGene00165303	8785173	8785193
WBGene00165687	9238777	9238797
WBGene00165861	921232	921252
WBGene00165991	6149534	6149554
WBGene00166041	7190029	7190049
WBGene00166289	6929886	6929906
WBGene00166544	7135934	7135954
WBGene00166824	7797202	7797222
WBGene00166939	2760618	2760638
WBGene00167007	5059143	5059163
WBGene00167100	2295348	2295368
WBGene00167172	749408	749428
WBGene00167224	2226226	2226246
WBGene00167244	8433051	8433071
WBGene00167539	3047481	3047501
WBGene00167616	10693142	10693162
WBGene00167713	7190025	7190045
WBGene00168344	3851947	3851967
WBGene00168375	7933365	7933385
WBGene00168552	4549574	4549594
WBGene00168562	8894241	8894261
WBGene00168627	4396485	4396505
WBGene00169029	4340625	4340645
WBGene00169072	191805	191825
WBGene00169109	3958639	3958659
WBGene00169492	1703714	1703734
WBGene00169944	13289701	13289721
WBGene00170085	5669530	5669550
WBGene00170289	10033388	10033408
WBGene00170317	4091693	4091713
WBGene00170628	13755791	13755811
WBGene00170659	3354052	3354072
WBGene00170694	5394223	5394243
WBGene00170721	821049	821069
WBGene00170819	4014691	4014711
WBGene00170943	7392635	7392655
WBGene00171046	610932	610952
WBGene00171114	10335090	10335110
WBGene00171162	6101410	6101430
WBGene00171201	2853328	2853348
WBGene00171286	6398482	6398502
WBGene00171461	7660841	7660861
WBGene00171512	2310549	2310569
WBGene00171816	10807482	10807502
WBGene00171929	9942217	9942237
WBGene00171981	1371141	1371161
WBGene00171984	3871149	3871169
WBGene00171985	4283600	4283620
WBGene00172012	9616286	9616306
WBGene00172145	6244738	6244758
WBGene00172146	7748715	7748735
WBGene00172230	12119009	12119029
WBGene00172353	6483185	6483205
WBGene00172390	6397871	6397891
WBGene00172691	9202542	9202562
WBGene00172790	8423403	8423423
WBGene00173000	13480497	13480517
WBGene00173118	12361439	12361459
WBGene00173231	5323587	5323607
WBGene00173248	4011895	4011915
WBGene00173378	4015917	4015937
WBGene00173646	4071476	4071496
WBGene00173698	13118794	13118814
WBGene00173723	6028570	6028590
WBGene00173893	4826926	4826946
WBGene00174006	2295350	2295370
WBGene00174054	10249452	10249472
WBGene00174140	6834880	6834900
WBGene00174214	5507998	5508018
WBGene00174304	6219139	6219159
WBGene00174332	6094213	6094233
WBGene00174448	5144973	5144993
WBGene00174882	9939679	9939699
WBGene00174886	8899774	8899794
WBGene00174927	5005252	5005272
WBGene00174966	6173414	6173434
WBGene00184990	3724222	3724980
WBGene00185001	13254675	13256456
WBGene00185002	9835192	9838311
WBGene00185005	13377830	13378342
WBGene00185006	9002054	9002636
WBGene00185014	4734356	4736065
WBGene00185048	10505480	10505899
WBGene00185055	11403017	11404197
WBGene00185075	4089803	4089937
WBGene00185078	194460	210063
WBGene00189944	4049498	4051271
WBGene00189950	2211420	2217095
WBGene00189952	5188726	5190175
WBGene00189953	1970071	1970533
WBGene00189954	167385	169556
WBGene00189955	173797	174558
WBGene00189956	1008436	1009913
WBGene00189976	13163437	13163455
WBGene00194650	3830279	3832240
WBGene00194683	10195907	10197080
WBGene00194684	11031609	11032963
WBGene00194690	13570854	13572525
WBGene00194691	9545120	9545897
WBGene00194692	4026568	4028161
WBGene00194716	8898325	8898465
WBGene00194725	10085403	10086064
WBGene00194726	7586790	7588212
WBGene00194727	11807784	11808464
WBGene00194729	7656719	7657171
WBGene00194730	7922538	7922983
WBGene00194731	10638971	10639701
WBGene00194733	11732442	11732773
WBGene00194734	7608570	7609268
WBGene00194735	1332016	1333708
WBGene00194737	289464	294627
WBGene00194738	1757834	1758251
WBGene00194742	7188357	7188971
WBGene00194746	1386993	1388497
WBGene00194747	2944084	2946230
WBGene00194748	4458110	4458306
WBGene00194827	6968870	6968924
WBGene00194828	7278715	7278778
WBGene00194852	13502813	13503578
WBGene00194853	12694186	12695743
WBGene00194854	12693503	12693859
WBGene00194855	12194490	12196993
WBGene00194856	10814376	10815128
WBGene00194861	10438078	10438898
WBGene00194864	11611242	11612471
WBGene00194865	13357251	13358172
WBGene00194866	11695342	11696446
WBGene00194868	10388632	10391728
WBGene00194870	13319265	13321892
WBGene00194871	9037958	9038566
WBGene00194886	9987367	9987728
WBGene00194981	12386897	12387721
WBGene00195000	5080798	5080898
WBGene00195008	4571640	4571716
WBGene00195016	5211220	5211518
WBGene00195017	5031410	5031708
WBGene00195034	178876	178895
WBGene00195174	10141032	10141428
WBGene00195236	7860167	7860234
WBGene00195270	4649471	4649690
WBGene00195271	3367810	3367997
WBGene00195279	5621510	5621558
WBGene00195292	11414732	11414846
WBGene00195294	3606554	3606702
WBGene00195303	1686990	1687041
WBGene00195314	9896855	9897004
WBGene00195317	9242008	9242135
WBGene00195321	3672879	3672980
WBGene00195325	9344813	9344986
WBGene00195329	9133874	9134019
WBGene00195331	9976685	9977031
WBGene00195333	13056379	13056601
WBGene00195340	4547089	4547230
WBGene00195344	13660520	13660603
WBGene00195362	1425562	1425711
WBGene00195364	6668061	6668138
WBGene00195367	1904456	1904510
WBGene00195368	6805229	6805433
WBGene00195371	8457401	8457592
WBGene00195410	2204157	2204207
WBGene00195412	9935321	9935470
WBGene00195422	12642877	12643026
WBGene00195427	9081281	9081413
WBGene00195440	9036335	9036437
WBGene00195450	4603360	4603508
WBGene00195489	2973591	2973653
WBGene00195506	7803287	7803435
WBGene00195509	9639499	9639636
WBGene00195511	4109871	4110018
WBGene00195516	1525618	1525667
WBGene00195518	7859532	7859678
WBGene00195555	7820111	7820166
WBGene00195562	6826291	6826455
WBGene00195570	13732868	13732961
WBGene00195577	8588915	8589062
WBGene00195582	6994161	6994303
WBGene00195585	11353308	11353393
WBGene00195588	10151983	10152103
WBGene00195599	10169613	10169741
WBGene00195609	11720180	11720253
WBGene00195649	8291333	8291392
WBGene00195652	9861590	9861742
WBGene00195655	10516645	10516839
WBGene00195674	7108049	7108196
WBGene00195676	12489327	12489428
WBGene00195691	4878458	4878553
WBGene00195715	4643410	4643509
WBGene00195737	1418845	1419061
WBGene00195739	11472224	11472372
WBGene00195741	10976681	10976746
WBGene00195744	8136488	8136637
WBGene00195746	5964598	5964718
WBGene00195747	4721880	4722074
WBGene00195763	6056289	6056383
WBGene00195773	11558449	11558574
WBGene00195778	8755404	8755486
WBGene00195779	2754060	2754208
WBGene00195783	8146215	8146321
WBGene00195791	8498953	8499169
WBGene00195792	9622268	9622410
WBGene00195794	4763410	4763556
WBGene00195796	1166470	1166685
WBGene00195799	6744662	6744790
WBGene00195887	11274376	11274432
WBGene00195896	6981555	6981688
WBGene00195901	3067569	3067793
WBGene00195906	8619137	8619228
WBGene00195913	13047574	13047647
WBGene00195915	7527288	7527425
WBGene00195922	11785745	11785824
WBGene00195930	6158943	6159059
WBGene00195936	8570592	8570731
WBGene00195946	1052384	1052588
WBGene00195952	9345020	9345170
WBGene00195997	8473466	8473554
WBGene00196000	297116	297208
WBGene00196016	5790254	5790314
WBGene00196026	10777396	10777442
WBGene00196031	12015478	12015552
WBGene00196040	12209330	12209390
WBGene00196053	7020839	7020987
WBGene00196069	1795738	1796028
WBGene00196070	6396637	6396688
WBGene00196071	4462226	4462369
WBGene00196072	2008289	2008438
WBGene00196082	83581	83633
WBGene00196092	9805112	9805261
WBGene00196094	2650171	2650318
WBGene00196131	6335236	6335385
WBGene00196135	223833	223882
WBGene00196141	9982302	9982553
WBGene00196150	8216458	8216570
WBGene00196151	2139811	2139869
WBGene00196169	1766247	1766298
WBGene00196174	6805662	6805810
WBGene00196177	82334	82389
WBGene00196193	9307827	9307967
WBGene00196203	9934060	9934207
WBGene00196205	12549806	12549889
WBGene00196222	2641881	2642099
WBGene00196244	1904456	1904510
WBGene00196265	7800548	7800695
WBGene00196287	5621510	5621558
WBGene00196291	9639844	9639990
WBGene00196295	3368485	3368633
WBGene00196329	3589207	3589355
WBGene00196334	9910758	9910903
WBGene00196348	9986947	9987069
WBGene00196352	1717285	1717494
WBGene00196359	5762282	5762364
WBGene00196366	675552	675665
WBGene00196368	13531064	13531168
WBGene00196372	1476837	1476889
WBGene00196373	8466752	8466870
WBGene00196376	8776169	8776376
WBGene00196380	7020839	7020987
WBGene00196381	3637327	3637466
WBGene00196388	9241659	9241793
WBGene00196391	9879320	9879469
WBGene00196395	12549806	12549881
WBGene00196405	10146135	10146284
WBGene00196412	11564620	11564811
WBGene00196420	7848235	7848376
WBGene00196430	12141176	12141250
WBGene00196452	11554958	11555063
WBGene00196459	7217055	7217110
WBGene00196470	8371944	8372080
WBGene00196486	3588607	3588756
WBGene00196490	4104945	4105085
WBGene00196492	3477482	3477582
WBGene00196497	13659188	13659240
WBGene00196505	8493894	8494107
WBGene00196541	2933117	2933283
WBGene00196565	4461789	4461906
WBGene00196572	12230145	12230277
WBGene00196577	11355887	11356051
WBGene00196608	9608061	9608207
WBGene00196621	1164778	1164902
WBGene00196628	3477482	3477582
WBGene00196633	6668061	6668138
WBGene00196649	8494177	8494320
WBGene00196669	11459270	11459419
WBGene00196670	9105823	9105889
WBGene00196696	3066337	3066468
WBGene00196707	4754236	4754352
WBGene00196725	11471821	11471955
WBGene00196736	4200502	4200547
WBGene00196747	3307303	3307353
WBGene00196773	9193851	9193931
WBGene00196783	4524864	4525065
WBGene00196785	6030837	6030961
WBGene00196787	8132596	8132733
WBGene00196818	5964589	5964711
WBGene00196847	1794934	1795047
WBGene00196848	8390219	8390367
WBGene00196856	9764747	9765109
WBGene00196858	8452967	8453099
WBGene00196864	3346835	3346928
WBGene00196865	1099649	1099702
WBGene00196870	5520700	5520896
WBGene00196905	8215987	8216130
WBGene00196910	7465784	7465933
WBGene00196916	6326758	6326826
WBGene00196921	12130507	12130646
WBGene00196933	10506679	10506825
WBGene00196958	9598036	9598134
WBGene00196960	6835668	6835810
WBGene00196973	6158772	6158871
WBGene00196981	8576121	8576319
WBGene00196982	11738584	11738685
WBGene00196983	7536700	7536888
WBGene00197006	10979662	10979811
WBGene00197021	1524956	1525004
WBGene00197037	10747948	10748170
WBGene00197039	445651	445781
WBGene00197042	6836979	6837124
WBGene00197048	8510340	8510479
WBGene00197050	10153240	10153388
WBGene00197054	9130889	9131032
WBGene00197100	6819699	6819817
WBGene00197106	6831775	6831923
WBGene00197109	11472431	11472608
WBGene00197139	7806977	7807079
WBGene00197172	4104733	4104878
WBGene00197179	11467643	11467761
WBGene00197184	8452081	8452207
WBGene00197187	11881714	11881788
WBGene00197191	7624120	7624202
WBGene00197192	8290296	8290441
WBGene00197198	5516222	5516364
WBGene00197208	10136781	10136911
WBGene00197245	5931430	5931560
WBGene00197281	11727182	11727252
WBGene00197284	3799393	3799447
WBGene00197298	4666950	4667236
WBGene00197306	1808775	1808924
WBGene00197307	11477937	11478086
WBGene00197309	9357255	9357327
WBGene00197322	9730478	9730614
WBGene00197331	6666582	6666661
WBGene00197335	5603596	5603756
WBGene00197351	8811149	8811287
WBGene00197371	13527858	13528046
WBGene00197374	9348294	9348424
WBGene00197391	8069340	8069485
WBGene00197394	2385187	2385236
WBGene00197400	5719647	5719782
WBGene00197401	13769892	13770045
WBGene00197404	9956892	9957041
WBGene00197409	9306855	9306990
WBGene00197424	10816925	10817064
WBGene00197428	9305890	9306028
WBGene00197440	13016107	13016179
WBGene00197446	3587601	3587747
WBGene00197486	7215795	7215958
WBGene00197504	6501547	6501619
WBGene00197506	6501547	6501619
WBGene00197514	4357998	4358057
WBGene00197530	951078	951163
WBGene00197536	1513840	1513892
WBGene00197539	7524270	7524355
WBGene00197575	8465959	8466080
WBGene00197590	492407	492756
WBGene00197604	10747787	10748158
WBGene00197609	8520784	8520915
WBGene00197620	12250463	12250572
WBGene00197628	10170277	10170405
WBGene00197633	6348659	6348808
WBGene00197637	6837859	6838008
WBGene00197639	10783044	10783176
WBGene00197650	2553769	2553919
WBGene00197652	10016678	10016878
WBGene00197661	5814520	5814669
WBGene00197666	5602041	5602188
WBGene00197669	4475576	4475782
WBGene00197670	3533291	3533440
WBGene00197684	9017532	9017731
WBGene00197692	1717285	1717494
WBGene00197702	4970664	4970855
WBGene00197708	8059179	8059325
WBGene00197719	6153402	6153481
WBGene00197722	10516106	10516231
WBGene00197754	1175637	1175688
WBGene00197767	4360099	4360248
WBGene00197812	6994709	6994920
WBGene00197831	1507188	1507252
WBGene00197835	5967883	5968032
WBGene00197843	12983652	12983754
WBGene00197870	13225151	13225237
WBGene00197874	4963426	4963566
WBGene00197877	11472472	11472739
WBGene00197884	5878333	5878482
WBGene00197895	8109592	8109734
WBGene00197897	9607687	9607911
WBGene00197898	11095331	11095480
WBGene00197906	5991644	5992220
WBGene00197908	8708877	8709101
WBGene00197916	3426899	3426992
WBGene00197917	8584303	8584425
WBGene00197925	6968273	6968326
WBGene00197927	8506546	8506695
WBGene00197954	4767011	4767148
WBGene00197962	13224560	13224659
WBGene00197964	8291333	8291392
WBGene00197966	4774929	4775118
WBGene00197984	10496080	10496379
WBGene00198017	9037744	9037913
WBGene00198018	3051456	3051517
WBGene00198031	11467466	11467586
WBGene00198035	11722259	11722325
WBGene00198055	12131973	12132115
WBGene00198108	10133145	10133236
WBGene00198109	8215987	8216130
WBGene00198118	7806915	7807079
WBGene00198119	4037390	4037518
WBGene00198127	10397598	10397729
WBGene00198135	13661603	13661862
WBGene00198138	9851660	9851795
WBGene00198145	4063740	4063820
WBGene00198149	1101185	1101232
WBGene00198182	4475514	4475657
WBGene00198189	10981170	10981282
WBGene00198212	2276077	2276258
WBGene00198216	4552061	4552275
WBGene00198225	9956892	9957041
WBGene00198234	5719647	5719782
WBGene00198235	9291225	9291315
WBGene00198256	11422669	11422812
WBGene00198286	7208653	7208796
WBGene00198316	10161888	10162103
WBGene00198337	9738297	9738446
WBGene00198344	9162856	9163004
WBGene00198361	11477928	11478077
WBGene00198362	1220429	1220570
WBGene00198368	5602334	5602474
WBGene00198372	1964618	1964767
WBGene00198379	9637514	9637658
WBGene00198387	9119465	9119614
WBGene00198394	9354220	9354399
WBGene00198396	7820111	7820166
WBGene00198404	4547089	4547230
WBGene00198409	11131432	11131484
WBGene00198420	12116659	12116735
WBGene00198428	8576172	8576319
WBGene00198434	6335251	6335400
WBGene00198441	5594495	5594641
WBGene00198443	2555962	2556107
WBGene00198456	8465861	8466124
WBGene00198459	9792901	9793050
WBGene00198463	4969346	4969487
WBGene00198467	9625325	9625473
WBGene00198479	1734020	1734072
WBGene00198486	6968273	6968326
WBGene00198513	492494	492835
WBGene00198514	951078	951163
WBGene00198521	7530859	7530990
WBGene00198530	6464287	6464567
WBGene00198538	2395607	2395656
WBGene00198560	9355494	9355824
WBGene00198561	1808400	1808549
WBGene00198566	7495088	7495231
WBGene00198575	4899802	4899950
WBGene00198603	10995610	10995659
WBGene00198622	6651162	6651228
WBGene00198626	1168091	1168159
WBGene00198633	8523347	8523495
WBGene00198638	13668642	13668790
WBGene00198642	10634173	10634381
WBGene00198656	12858384	12858507
WBGene00198659	9995803	9995952
WBGene00198669	7374166	7374314
WBGene00198672	9607467	9607614
WBGene00198690	8501505	8501587
WBGene00198711	3541179	3541327
WBGene00198715	1766830	1766883
WBGene00198723	4766570	4766719
WBGene00198730	10496092	10496241
WBGene00198737	5989353	5989491
WBGene00198750	7012254	7012402
WBGene00198758	1218366	1218452
WBGene00198795	4362461	4362677
WBGene00198805	5782173	5782309
WBGene00198817	1476837	1476889
WBGene00198818	10532334	10532482
WBGene00198830	8209966	8210052
WBGene00198836	2648346	2648471
WBGene00198844	5967874	5968023
WBGene00198846	12212579	12212680
WBGene00198860	8106652	8106737
WBGene00198889	4617038	4617187
WBGene00198895	4392675	4392733
WBGene00198919	1220976	1221117
WBGene00198925	10297208	10297342
WBGene00198928	5987250	5987318
WBGene00198939	6888803	6888885
WBGene00198942	551008	551069
WBGene00198943	1099775	1099830
WBGene00198950	13635866	13635998
WBGene00198958	4451137	4451286
WBGene00198964	8865268	8865366
