From	To	Species	Gene Name
174996	NM_001267467	Caenorhabditis elegans	NEPrilysin metallopeptidase family(nep-17)
174997	NM_182150	Caenorhabditis elegans	Sorting NeXin(snx-14)
174997	NM_064443	Caenorhabditis elegans	Sorting NeXin(snx-14)
180208	NM_075226	Caenorhabditis elegans	hypothetical protein(Y51A2D.8)
180207	NM_075224	Caenorhabditis elegans	hypothetical protein(Y51A2D.7)
180207	NR_070171	Caenorhabditis elegans	hypothetical protein(Y51A2D.7)
13182072	NM_001264667	Caenorhabditis elegans	hypothetical protein(F46A8.11)
24104436	NM_001307789	Caenorhabditis elegans	Nuclear Hormone Receptor family(nhr-117)
24104436	NR_132511	Caenorhabditis elegans	Nuclear Hormone Receptor family(nhr-117)
24104436	AY204206	Caenorhabditis elegans	Nuclear Hormone Receptor family(nhr-117)
24104436	NM_001307790	Caenorhabditis elegans	Nuclear Hormone Receptor family(nhr-117)
184491	NM_074638	Caenorhabditis elegans	hypothetical protein(F14H3.5)
180209	NM_001269884	Caenorhabditis elegans	TransThyretin-Related family domain(ttr-24)
180209	NM_001269883	Caenorhabditis elegans	TransThyretin-Related family domain(ttr-24)
184498	NM_074295	Caenorhabditis elegans	hypothetical protein(F14H8.2)
184499	NM_074297	Caenorhabditis elegans	hypothetical protein(F14H8.4)
180213	NM_182345	Caenorhabditis elegans	hypothetical protein(Y51A2D.13)
180213	NM_075231	Caenorhabditis elegans	hypothetical protein(Y51A2D.13)
184496	NM_074644	Caenorhabditis elegans	Nuclear Hormone Receptor family(nhr-176)
180210	NM_001269886	Caenorhabditis elegans	TransThyretin-Related family domain(ttr-25)
180210	NM_001269885	Caenorhabditis elegans	TransThyretin-Related family domain(ttr-25)
184497	NM_074646	Caenorhabditis elegans	hypothetical protein(F14H3.12)
182350	NM_077304	Caenorhabditis elegans	TIA-1/TIAL RNA binding protein homolog(tiar-3)
180211	NM_075229	Caenorhabditis elegans	TransThyretin-Related family domain(ttr-26)
184494	NM_074642	Caenorhabditis elegans	hypothetical protein(F14H3.9)
182351	NM_077305	Caenorhabditis elegans	hypothetical protein(C07A4.2)
184495	NM_074643	Caenorhabditis elegans	CYtochrome P450 family(cyp-35D1)
182352	NM_077306	Caenorhabditis elegans	hypothetical protein(C07A4.3)
180217	NM_075235	Caenorhabditis elegans	Nuclear Hormone Receptor family(nhr-70)
184492	NM_074640	Caenorhabditis elegans	F-box A protein(fbxa-100)
182353	NM_066747	Caenorhabditis elegans	C-type lectin domain-containing protein 162(clec-162)
180214	NM_075232	Caenorhabditis elegans	hypothetical protein(Y51A2D.14)
182354	NM_066745	Caenorhabditis elegans	Putative sodium/calcium exchanger 6(ncx-6)
183403	NM_068735	Caenorhabditis elegans	hypothetical protein(C42D4.1)
182355	NM_066739	Caenorhabditis elegans	Uncharacterized calcium-binding protein C07A9.5(C07A9.5)
183402	NM_001268701	Caenorhabditis elegans	hypothetical protein(hpo-12)
183402	NM_001268702	Caenorhabditis elegans	hypothetical protein(hpo-12)
183402	NM_001268703	Caenorhabditis elegans	hypothetical protein(hpo-12)
183402	NM_001268704	Caenorhabditis elegans	hypothetical protein(hpo-12)
182356	NM_181940	Caenorhabditis elegans	SET domain-containing protein 3(set-3)
182356	NM_066742	Caenorhabditis elegans	SET domain-containing protein 3(set-3)
183401	NM_001268705	Caenorhabditis elegans	hypothetical protein(C42C1.9)
183401	NM_001268706	Caenorhabditis elegans	hypothetical protein(C42C1.9)
182357	NM_066736	Caenorhabditis elegans	hypothetical protein(C07A9.9)
183400	NM_069932	Caenorhabditis elegans	Mannose-1-phosphate guanyltransferase beta(tag-335)
182358	NM_066740	Caenorhabditis elegans	hypothetical protein(C07A9.10)
182359	NM_077199	Caenorhabditis elegans	hypothetical protein(C07B5.2)
183405	NM_001306780	Caenorhabditis elegans	hypothetical protein(C42D4.13)
183405	NM_001306779	Caenorhabditis elegans	hypothetical protein(C42D4.13)
183404	NM_068733	Caenorhabditis elegans	C-type LECtin(clec-179)
183408	NM_001270154	Caenorhabditis elegans	NeuroPeptide Receptor family(npr-18)
183408	NM_001270155	Caenorhabditis elegans	NeuroPeptide Receptor family(npr-18)
183408	NM_001270160	Caenorhabditis elegans	NeuroPeptide Receptor family(npr-18)
183408	NM_001270156	Caenorhabditis elegans	NeuroPeptide Receptor family(npr-18)
183408	NM_001270157	Caenorhabditis elegans	NeuroPeptide Receptor family(npr-18)
183408	NM_001270158	Caenorhabditis elegans	NeuroPeptide Receptor family(npr-18)
183408	NM_001270159	Caenorhabditis elegans	NeuroPeptide Receptor family(npr-18)
183409	NM_075364	Caenorhabditis elegans	hypothetical protein(C43D7.4)
24104427	NM_001307825	Caenorhabditis elegans	hypothetical protein(F14F8.15)
180219	NM_075238	Caenorhabditis elegans	EGF plus ASC domain ion channel(egas-1)
24104428	NM_001276976	Caenorhabditis elegans	hypothetical protein(F14H3.15)
180218	NM_182407	Caenorhabditis elegans	COLlagen(col-42)
24104421	NM_001307904	Caenorhabditis elegans	Proton-gated ion channel subunit pbo-6(pbo-6)
24104420	NM_001306580	Caenorhabditis elegans	TransThyretin-Related family domain(ttr-41)
182360	NM_077201	Caenorhabditis elegans	hypothetical protein(C07B5.3)
180221	NM_075244	Caenorhabditis elegans	hypothetical protein(Y69H2.3)
180221	NM_001129590	Caenorhabditis elegans	hypothetical protein(Y69H2.3)
180221	NM_075241	Caenorhabditis elegans	hypothetical protein(Y69H2.3)
180221	NM_001276997	Caenorhabditis elegans	hypothetical protein(Y69H2.3)
180221	NM_075243	Caenorhabditis elegans	hypothetical protein(Y69H2.3)
180221	NM_075242	Caenorhabditis elegans	hypothetical protein(Y69H2.3)
180221	NM_001276998	Caenorhabditis elegans	hypothetical protein(Y69H2.3)
180221	NM_001276999	Caenorhabditis elegans	hypothetical protein(Y69H2.3)
180221	NR_023988	Caenorhabditis elegans	hypothetical protein(Y69H2.3)
182361	NM_001029200	Caenorhabditis elegans	hypothetical protein(C07B5.4)
182361	NM_001029199	Caenorhabditis elegans	hypothetical protein(C07B5.4)
180223	NM_075246	Caenorhabditis elegans	UBiquitin Conjugating enzyme(ubc-19)
180224	NM_075247	Caenorhabditis elegans	hypothetical protein(Y69H2.7)
180224	NM_001277001	Caenorhabditis elegans	hypothetical protein(Y69H2.7)
183410	NM_075363	Caenorhabditis elegans	SKN-1 Dependent Zygotic transcript(sdz-6)
182362	NM_069199	Caenorhabditis elegans	hypothetical protein(C07C7.1)
180228	NM_075274	Caenorhabditis elegans	hypothetical protein(C54E10.6)
183412	NM_075362	Caenorhabditis elegans	hypothetical protein(C43D7.7)
182368	NM_063151	Caenorhabditis elegans	Zinc metalloproteinase nas-7(nas-7)
183411	NM_075361	Caenorhabditis elegans	Serpentine Receptor, class H(srh-208)
182369	NM_063830	Caenorhabditis elegans	hypothetical protein(C07E3.4)
183414	NM_069555	Caenorhabditis elegans	hypothetical protein(C43F9.4)
183414	NR_131600	Caenorhabditis elegans	hypothetical protein(C43F9.4)
183414	NR_131599	Caenorhabditis elegans	hypothetical protein(C43F9.4)
183414	NR_131598	Caenorhabditis elegans	hypothetical protein(C43F9.4)
182366	NM_076842	Caenorhabditis elegans	hypothetical protein(C07D8.5)
183413	NM_058935	Caenorhabditis elegans	Putative nudix hydrolase 7(ndx-7)
182367	NM_063147	Caenorhabditis elegans	Serpentine Receptor, class E (epsilon)(sre-3)
183416	NM_069558	Caenorhabditis elegans	hypothetical protein(C43F9.7)
183415	NM_069556	Caenorhabditis elegans	hypothetical protein(C43F9.5)
183418	NM_001306807	Caenorhabditis elegans	hypothetical protein(C43G2.3)
183418	NM_068601	Caenorhabditis elegans	hypothetical protein(C43G2.3)
183417	NM_001306806	Caenorhabditis elegans	BICaudal D (Drosophila) homolog(bicd-1)
183417	NM_001306805	Caenorhabditis elegans	BICaudal D (Drosophila) homolog(bicd-1)
183419	NM_068599	Caenorhabditis elegans	Bestrophin homolog 9(best-9)
13182058	NM_001264652	Caenorhabditis elegans	hypothetical protein(Y53H1A.7)
24104419	NM_001307841	Caenorhabditis elegans	hypothetical protein(F10G2.10)
24104419	NM_001307840	Caenorhabditis elegans	hypothetical protein(F10G2.10)
181361	NM_077577	Caenorhabditis elegans	hypothetical protein(F54F7.3)
180231	NM_075282	Caenorhabditis elegans	tryptophanyl(W) Amino-acyl tRNA Synthetase(wars-1)
180231	AB096635	Caenorhabditis elegans	tryptophanyl(W) Amino-acyl tRNA Synthetase(wars-1)
181362	AF200199	Caenorhabditis elegans	Protein mes-1(mes-1)
181362	NM_171780	Caenorhabditis elegans	Protein mes-1(mes-1)
180230	NM_001029049	Caenorhabditis elegans	Nuclear hormone receptor family member nhr-65(nhr-65)
180230	NM_001029048	Caenorhabditis elegans	Nuclear hormone receptor family member nhr-65(nhr-65)
181363	NM_077583	Caenorhabditis elegans	hypothetical protein(Y62H9A.3)
181364	NM_077585	Caenorhabditis elegans	hypothetical protein(Y62H9A.5)
182378	NM_068977	Caenorhabditis elegans	hypothetical protein(C07G1.7)
182377	NM_068976	Caenorhabditis elegans	hypothetical protein(C07G1.6)
181360	NM_001270248	Caenorhabditis elegans	hypothetical protein(tag-241)
181360	NM_001270246	Caenorhabditis elegans	hypothetical protein(tag-241)
181360	NM_001270247	Caenorhabditis elegans	hypothetical protein(tag-241)
181360	NM_001270245	Caenorhabditis elegans	hypothetical protein(tag-241)
182379	NM_071582	Caenorhabditis elegans	Infection Response Gene(irg-1)
181369	NM_077599	Caenorhabditis elegans	Lysine-Specific histone Demethylase homolog(lsd-1)
180239	NM_075294	Caenorhabditis elegans	hypothetical protein(Y39B6A.42)
182374	NM_063827	Caenorhabditis elegans	Phospholipase A(2)(C07E3.9)
180238	NM_171563	Caenorhabditis elegans	hypothetical protein(Y39B6A.43)
180238	NM_171562	Caenorhabditis elegans	hypothetical protein(Y39B6A.43)
180238	NM_001269907	Caenorhabditis elegans	hypothetical protein(Y39B6A.43)
182373	NM_063828	Caenorhabditis elegans	hypothetical protein(C07E3.8)
13189011	NM_001267949	Caenorhabditis elegans	hypothetical protein(C14B1.12)
180237	NM_075290	Caenorhabditis elegans	hypothetical protein(Y80D3A.8)
180236	NM_075287	Caenorhabditis elegans	CYtochrome P450 family(cyp-42A1)
182375	NM_068978	Caenorhabditis elegans	hypothetical protein(svh-1)
182375	AB693146	Caenorhabditis elegans	hypothetical protein(svh-1)
181365	NM_077586	Caenorhabditis elegans	hypothetical protein(Y62H9A.6)
180235	NM_075286	Caenorhabditis elegans	Neuropeptide-Like Protein(nlp-42)
182370	NM_063831	Caenorhabditis elegans	C. Elegans Homeobox(ceh-57)
180233	NM_075284	Caenorhabditis elegans	C. Elegans Homeobox(ceh-51)
181368	NM_077598	Caenorhabditis elegans	Nuclear transcription Factor Y, A (alpha) subunit(nfya-1)
180232	NM_001313364	Caenorhabditis elegans	hypothetical protein(emb-4)
180232	NM_001269902	Caenorhabditis elegans	hypothetical protein(emb-4)
180232	NM_001269904	Caenorhabditis elegans	hypothetical protein(emb-4)
180232	NM_001269903	Caenorhabditis elegans	hypothetical protein(emb-4)
180232	NM_001277003	Caenorhabditis elegans	hypothetical protein(emb-4)
182371	NM_063833	Caenorhabditis elegans	C. Elegans Homeobox(ceh-58)
174964	M94671	Caenorhabditis elegans	32 kDa beta-galactoside-binding lectin(lec-1)
174964	NM_064400	Caenorhabditis elegans	32 kDa beta-galactoside-binding lectin(lec-1)
174964	NM_001027234	Caenorhabditis elegans	32 kDa beta-galactoside-binding lectin(lec-1)
174963	NM_064399	Caenorhabditis elegans	Probable trans-2-enoyl-CoA reductase 1, mitochondrial(mecr-1)
174966	NM_064402	Caenorhabditis elegans	hypothetical protein(F15D4.2)
174965	NM_064401	Caenorhabditis elegans	BTAF (TBP-associated factor) homolog(btf-1)
174968	NM_064403	Caenorhabditis elegans	hypothetical protein(rmo-1)
174967	NM_001026920	Caenorhabditis elegans	GQTFVRF-amide(flp-16)
174969	NM_064405	Caenorhabditis elegans	hypothetical protein(F15D4.5)
174960	NM_064394	Caenorhabditis elegans	see oma(moe-3)
13182023	NM_001276559	Caenorhabditis elegans	hypothetical protein(Y52B11A.12)
174962	NM_064397	Caenorhabditis elegans	hypothetical protein(W09H1.3)
174961	NM_001027232	Caenorhabditis elegans	hypothetical protein(W09H1.1)
174961	NM_001027231	Caenorhabditis elegans	hypothetical protein(W09H1.1)
181374	NM_077611	Caenorhabditis elegans	Ubiquinol-Cytochrome c oxidoReductase complex(ucr-2.1)
181374	NM_077610	Caenorhabditis elegans	Ubiquinol-Cytochrome c oxidoReductase complex(ucr-2.1)
180240	NM_001269908	Caenorhabditis elegans	Mitochondrial Ribosomal Protein, Small(mrps-35)
180240	NM_001269909	Caenorhabditis elegans	Mitochondrial Ribosomal Protein, Small(mrps-35)
181375	NM_001270253	Caenorhabditis elegans	hypothetical protein(B0198.2)
181375	NM_001270254	Caenorhabditis elegans	hypothetical protein(B0198.2)
181372	NM_077606	Caenorhabditis elegans	hypothetical protein(C49F5.6)
180242	NM_171570	Caenorhabditis elegans	hypothetical protein(Y39B6A.37)
181373	NM_001047832	Caenorhabditis elegans	Mitogen-activated protein kinase sma-5(sma-5)
181373	NM_171782	Caenorhabditis elegans	Mitogen-activated protein kinase sma-5(sma-5)
181373	NM_171783	Caenorhabditis elegans	Mitogen-activated protein kinase sma-5(sma-5)
181373	NM_001038483	Caenorhabditis elegans	Mitogen-activated protein kinase sma-5(sma-5)
180241	NM_171569	Caenorhabditis elegans	REPS (RalBP1-associated Eps domain-containing protein) homolog(reps-1)
181370	NM_077601	Caenorhabditis elegans	Probable S-adenosylmethionine synthase 1(sams-1)
181371	NM_077602	Caenorhabditis elegans	SET (trithorax/polycomb) domain containing(set-6)
182389	NM_073198	Caenorhabditis elegans	hypothetical protein(C08B6.3)
182389	NM_001307776	Caenorhabditis elegans	hypothetical protein(C08B6.3)
182388	NM_171526	Caenorhabditis elegans	hypothetical protein(C08B6.11)
180248	NM_171577	Caenorhabditis elegans	hypothetical protein(Y39B6A.30)
182387	NM_078367	Caenorhabditis elegans	hypothetical protein(C08A9.9)
182386	NM_078366	Caenorhabditis elegans	hypothetical protein(C08A9.8)
180249	NM_171579	Caenorhabditis elegans	hypothetical protein(Y39B6A.25)
181378	NM_001047831	Caenorhabditis elegans	COLlagen(col-181)
181378	NM_001047830	Caenorhabditis elegans	COLlagen(col-181)
180244	NM_171572	Caenorhabditis elegans	Queuine tRNA-ribosyltransferase subunit tgt-2(tgt-2)
182383	NM_001270354	Caenorhabditis elegans	hypothetical protein(C08A9.3)
182383	NM_001270355	Caenorhabditis elegans	hypothetical protein(C08A9.3)
181379	NM_077629	Caenorhabditis elegans	LYSosomal Trafficking regulator protein(lyst-1)
180243	NM_171571	Caenorhabditis elegans	General transcription factor IIF subunit 2(Y39B6A.36)
182382	NM_066251	Caenorhabditis elegans	hypothetical protein(C07H6.2)
181376	NM_077613	Caenorhabditis elegans	TetraSPanin family(tsp-20)
180246	NM_171574	Caenorhabditis elegans	hypothetical protein(Y39B6A.33)
182381	NM_001322525	Caenorhabditis elegans	hypothetical protein(C07G3.8)
182381	NM_001269096	Caenorhabditis elegans	hypothetical protein(C07G3.8)
181377	NM_077618	Caenorhabditis elegans	hypothetical protein(W03G11.4)
180245	NM_171573	Caenorhabditis elegans	APOPT family protein Y39B6A.34, mitochondrial(Y39B6A.34)
180245	NM_001277005	Caenorhabditis elegans	APOPT family protein Y39B6A.34, mitochondrial(Y39B6A.34)
174955	NM_001026956	Caenorhabditis elegans	Prion-like-(Q/N-rich)-domain-bearing protein(pqn-32)
174955	NM_001026957	Caenorhabditis elegans	Prion-like-(Q/N-rich)-domain-bearing protein(pqn-32)
13182032	NM_001264628	Caenorhabditis elegans	hypothetical protein(Y52B11A.19)
182390	NM_073200	Caenorhabditis elegans	hypothetical protein(C08B6.5)
174953	NM_001267441	Caenorhabditis elegans	Eukaryotic translation initiation factor 2-alpha kinase gcn-2(gcn-2)
174953	NM_001267442	Caenorhabditis elegans	Eukaryotic translation initiation factor 2-alpha kinase gcn-2(gcn-2)
174952	NM_064378	Caenorhabditis elegans	hypothetical protein(F42G4.6)
13182031	NM_001264627	Caenorhabditis elegans	hypothetical protein(Y52B11A.18)
174959	NM_064393	Caenorhabditis elegans	hypothetical protein(F32A11.1)
174958	AF076840	Caenorhabditis elegans	Homolog of S. Pombe Rad(hpr-17)
174958	NM_064392	Caenorhabditis elegans	Homolog of S. Pombe Rad(hpr-17)
174957	NM_064391	Caenorhabditis elegans	hypothetical protein(F32A11.3)
174956	NM_064386	Caenorhabditis elegans	Elongation factor G, mitochondrial(gfm-1)
174951	NM_064375	Caenorhabditis elegans	Zyxin(zyx-1)
174951	NM_064376	Caenorhabditis elegans	Zyxin(zyx-1)
174951	NM_001267437	Caenorhabditis elegans	Zyxin(zyx-1)
174951	NM_001267436	Caenorhabditis elegans	Zyxin(zyx-1)
174951	NM_001267435	Caenorhabditis elegans	Zyxin(zyx-1)
13182034	NM_001313463	Caenorhabditis elegans	hypothetical protein(Y52B11A.11)
181380	NM_077631	Caenorhabditis elegans	hypothetical protein(M153.1)
182399	NM_061611	Caenorhabditis elegans	F-box A protein(fbxa-164)
181381	NM_077634	Caenorhabditis elegans	hypothetical protein(F57G12.1)
181382	AF293976	Caenorhabditis elegans	Protein cab-1(cab-1)
181382	NM_077635	Caenorhabditis elegans	Protein cab-1(cab-1)
181383	NM_077637	Caenorhabditis elegans	hypothetical protein(C23H4.3)
180253	NM_171589	Caenorhabditis elegans	hypothetical protein(Y39B6A.18)
181384	NM_001270260	Caenorhabditis elegans	hypothetical protein(C23H4.6)
181384	NM_001270261	Caenorhabditis elegans	hypothetical protein(C23H4.6)
180252	NM_001136444	Caenorhabditis elegans	TWiK family of potassium channels(twk-46)
180252	NM_171588	Caenorhabditis elegans	TWiK family of potassium channels(twk-46)
181385	NM_077641	Caenorhabditis elegans	Carboxylic ester hydrolase(E01G6.3)
180251	AF208526	Caenorhabditis elegans	ASpartyl Protease(asp-1)
180251	NM_171587	Caenorhabditis elegans	ASpartyl Protease(asp-1)
181386	NM_077642	Caenorhabditis elegans	hypothetical protein(E01G6.2)
180250	NM_171583	Caenorhabditis elegans	ASpartyl Protease(asp-17)
181387	NM_077643	Caenorhabditis elegans	hypothetical protein(E01G6.1)
180257	NM_001029056	Caenorhabditis elegans	BED-type zinc finger putative transcription factor(bed-1)
180257	NM_001029057	Caenorhabditis elegans	BED-type zinc finger putative transcription factor(bed-1)
182392	NM_063284	Caenorhabditis elegans	Probable dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase(C08B11.8)
181388	NM_077647	Caenorhabditis elegans	hypothetical protein(C04B4.2)
180256	NM_171594	Caenorhabditis elegans	Protein SDA1 homolog(pro-3)
180256	EU068466	Caenorhabditis elegans	Protein SDA1 homolog(pro-3)
182391	NM_073201	Caenorhabditis elegans	hypothetical protein(C08B6.6)
24104474	NM_001306387	Caenorhabditis elegans	hypothetical protein(F23C8.14)
24104474	NM_001306388	Caenorhabditis elegans	hypothetical protein(F23C8.14)
181389	NM_077652	Caenorhabditis elegans	hypothetical protein(W06D11.2)
180255	NM_001269913	Caenorhabditis elegans	Nuclear Hormone Receptor family(nhr-145)
180255	NM_001269912	Caenorhabditis elegans	Nuclear Hormone Receptor family(nhr-145)
182394	NM_072751	Caenorhabditis elegans	hypothetical protein(C08D8.1)
24104475	NM_001306572	Caenorhabditis elegans	RNA POlymerase I (A) subunit(rpoa-49)
180254	NM_001029058	Caenorhabditis elegans	Nuclear Hormone Receptor family(nhr-95)
180254	NM_001029059	Caenorhabditis elegans	Nuclear Hormone Receptor family(nhr-95)
182393	NM_066293	Caenorhabditis elegans	BTB and MATH domain-containing protein 15(bath-15)
182395	NM_061618	Caenorhabditis elegans	hypothetical protein(C08E3.1)
180259	NM_171600	Caenorhabditis elegans	hypothetical protein(Y39B6A.8)
182398	NM_061609	Caenorhabditis elegans	F-box A protein(fbxa-163)
24104471	NM_001307844	Caenorhabditis elegans	hypothetical protein(F22F7.11)
180258	NM_171598	Caenorhabditis elegans	hypothetical protein(Y39B6A.10)
174989	NM_064434	Caenorhabditis elegans	hypothetical protein(E01G4.5)
24104466	NM_001277007	Caenorhabditis elegans	hypothetical protein(F21D9.11)
24104466	NR_102122	Caenorhabditis elegans	hypothetical protein(F21D9.11)
174986	NM_001330964	Caenorhabditis elegans	TBC (Tre-2/Bub2/Cdc16) domain family(tbc-14)
174986	NM_001330963	Caenorhabditis elegans	TBC (Tre-2/Bub2/Cdc16) domain family(tbc-14)
24104465	NM_001307837	Caenorhabditis elegans	hypothetical protein(F21C10.18)
174988	NM_001267461	Caenorhabditis elegans	hypothetical protein(E01G4.3)
174988	NM_001267463	Caenorhabditis elegans	hypothetical protein(E01G4.3)
174988	NM_001267462	Caenorhabditis elegans	hypothetical protein(E01G4.3)
174982	NM_064427	Caenorhabditis elegans	hypothetical protein(Y48E1C.1)
174982	NM_064426	Caenorhabditis elegans	hypothetical protein(Y48E1C.1)
174982	NM_182168	Caenorhabditis elegans	hypothetical protein(Y48E1C.1)
174982	NM_001267457	Caenorhabditis elegans	hypothetical protein(Y48E1C.1)
13182001	NM_001264607	Caenorhabditis elegans	hypothetical protein(F49D11.11)
174981	NM_001129189	Caenorhabditis elegans	hypothetical protein(Y48C3A.18)
174981	NM_064425	Caenorhabditis elegans	hypothetical protein(Y48C3A.18)
174981	NM_001267456	Caenorhabditis elegans	hypothetical protein(Y48C3A.18)
174984	NM_064429	Caenorhabditis elegans	hypothetical protein(Y48E1C.4)
174984	NM_182206	Caenorhabditis elegans	hypothetical protein(Y48E1C.4)
13221552	NM_001270121	Caenorhabditis elegans	hypothetical protein(F27D9.12)
174983	NM_064428	Caenorhabditis elegans	hypothetical protein(Y48E1C.2)
174980	NM_001129188	Caenorhabditis elegans	E2F-like (mammalian transcription factor)(efl-2)
174980	NM_001129186	Caenorhabditis elegans	E2F-like (mammalian transcription factor)(efl-2)
174980	NM_064424	Caenorhabditis elegans	E2F-like (mammalian transcription factor)(efl-2)
174980	NM_001129187	Caenorhabditis elegans	E2F-like (mammalian transcription factor)(efl-2)
181392	NM_182450	Caenorhabditis elegans	Nematode Specific Peptide family, group C(nspc-10)
181393	NM_077671	Caenorhabditis elegans	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase(F42F12.4)
181390	NM_077660	Caenorhabditis elegans	hypothetical protein(F17A2.13)
180260	NM_001269916	Caenorhabditis elegans	hypothetical protein(Y39B6A.5)
180260	NM_001269915	Caenorhabditis elegans	hypothetical protein(Y39B6A.5)
181391	NM_077669	Caenorhabditis elegans	Nematode Specific Peptide family, group C(nspc-9)
181396	NM_077673	Caenorhabditis elegans	Nematode Specific Peptide family, group C(nspc-15)
180262	NM_001129566	Caenorhabditis elegans	hypothetical protein(Y39B6A.3)
180262	NM_171606	Caenorhabditis elegans	hypothetical protein(Y39B6A.3)
181397	NM_077675	Caenorhabditis elegans	hypothetical protein(F19H6.5)
180261	NM_001269917	Caenorhabditis elegans	Homolog of Odr-2 (Two)(hot-2)
180261	NM_001269919	Caenorhabditis elegans	Homolog of Odr-2 (Two)(hot-2)
180261	NM_001269918	Caenorhabditis elegans	Homolog of Odr-2 (Two)(hot-2)
181394	NM_001029486	Caenorhabditis elegans	Nematode Specific Peptide family, group C(nspc-12)
180264	NM_171608	Caenorhabditis elegans	hypothetical protein(Y39B6A.1)
181395	NM_182449	Caenorhabditis elegans	Nematode Specific Peptide family, group C(nspc-14)
180263	NM_001269921	Caenorhabditis elegans	Protein PHosphatase(pph-5)
180263	NM_001269920	Caenorhabditis elegans	Protein PHosphatase(pph-5)
13222680	NM_001270198	Caenorhabditis elegans	hypothetical protein(K09C8.9)
180266	NM_075346	Caenorhabditis elegans	hypothetical protein(F21D9.2)
24104464	NM_001307836	Caenorhabditis elegans	hypothetical protein(F21C10.17)
180265	NM_001277006	Caenorhabditis elegans	Nuclear Hormone Receptor family(nhr-79)
180265	NM_075333	Caenorhabditis elegans	Nuclear Hormone Receptor family(nhr-79)
181398	NM_077679	Caenorhabditis elegans	Serine/threonine-protein kinase nekl-3(nekl-3)
181398	DQ645955	Caenorhabditis elegans	Serine/threonine-protein kinase nekl-3(nekl-3)
180268	NM_075365	Caenorhabditis elegans	F-box B protein(fbxb-65)
181399	NM_077680	Caenorhabditis elegans	Probable calcium-binding mitochondrial carrier F17E5.2(F17E5.2)
180267	NM_075360	Caenorhabditis elegans	hypothetical protein(C43D7.8)
180269	NM_075369	Caenorhabditis elegans	hypothetical protein(Y43F8A.2)
24104459	NM_001307240	Caenorhabditis elegans	hypothetical protein(F20D12.12)
174979	NM_064423	Caenorhabditis elegans	ParvulIN of Nematode(pinn-4)
174978	NM_001267452	Caenorhabditis elegans	DNA topoisomerase(Y48C3A.14)
174978	NM_001267455	Caenorhabditis elegans	DNA topoisomerase(Y48C3A.14)
174978	NM_001267454	Caenorhabditis elegans	DNA topoisomerase(Y48C3A.14)
174978	NM_001267453	Caenorhabditis elegans	DNA topoisomerase(Y48C3A.14)
174977	NM_064418	Caenorhabditis elegans	hypothetical protein(Y48C3A.20)
174976	NM_064416	Caenorhabditis elegans	Mitochondrial Ribosomal Protein, Large(mrpl-20)
174975	NM_001267451	Caenorhabditis elegans	Single-stranded DNA-binding protein homolog sam-10(sam-10)
174975	NM_001267450	Caenorhabditis elegans	Single-stranded DNA-binding protein homolog sam-10(sam-10)
174974	NM_064413	Caenorhabditis elegans	Member of AAA family binding CED-4(mac-1)
174973	NM_064409	Caenorhabditis elegans	hypothetical protein(Y48C3A.5)
174973	NM_001027277	Caenorhabditis elegans	hypothetical protein(Y48C3A.5)
174973	NM_182245	Caenorhabditis elegans	hypothetical protein(Y48C3A.5)
174971	NM_064410	Caenorhabditis elegans	Zinc finger putative Transcription Factor family(ztf-22)
13187945	NM_001267498	Caenorhabditis elegans	hypothetical protein(F26H11.8)
185718	NM_059937	Caenorhabditis elegans	CEll death Specification(ces-1)
185719	NM_073006	Caenorhabditis elegans	hypothetical protein(kvs-3)
185711	NM_063142	Caenorhabditis elegans	hypothetical protein(F43E2.11)
184667	NM_069946	Caenorhabditis elegans	hypothetical protein(F19B6.3)
184668	NM_062207	Caenorhabditis elegans	hypothetical protein(F19B10.3)
184665	NM_075483	Caenorhabditis elegans	hypothetical protein(F19B2.7)
184666	NM_075490	Caenorhabditis elegans	Serpentine Receptor, class Z(srz-16)
185715	NM_001129003	Caenorhabditis elegans	LysM Domain (peptidoglycan binding) protein(lmd-1)
185715	NM_001129004	Caenorhabditis elegans	LysM Domain (peptidoglycan binding) protein(lmd-1)
185717	NM_059934	Caenorhabditis elegans	hypothetical protein(F43G9.8)
184669	NM_062205	Caenorhabditis elegans	hypothetical protein(F19B10.4)
184664	NM_075484	Caenorhabditis elegans	hypothetical protein(F19B2.6)
184662	NM_075487	Caenorhabditis elegans	Serpentine Receptor, class W(srw-39)
13187936	NM_001267497	Caenorhabditis elegans	hypothetical protein(Y54G11A.17)
185709	NM_063139	Caenorhabditis elegans	Methionine Sulfoxide Reductase A(msra-1)
185707	NM_066916	Caenorhabditis elegans	SLY1 homolog(sly-1)
185707	NM_001129225	Caenorhabditis elegans	SLY1 homolog(sly-1)
185708	NM_063145	Caenorhabditis elegans	hypothetical protein(F43E2.1)
185702	NM_061853	Caenorhabditis elegans	hypothetical protein(F43C11.11)
184654	NM_077159	Caenorhabditis elegans	hypothetical protein(F18G5.1)
185701	NM_061849	Caenorhabditis elegans	hypothetical protein(F43C11.10)
184655	NM_077158	Caenorhabditis elegans	hypothetical protein(F18G5.5)
185700	NM_061846	Caenorhabditis elegans	hypothetical protein(F43C11.6)
